REGION,STATE,COUNTY,PRETBRPCT
4,Georgia,Twiggs County,13.2
4,Georgia,Union County,8.4
4,Georgia,Upson County,14.2
4,Georgia,Walker County,10.7
4,Georgia,Walton County,11.3
4,Georgia,Ware County,12.5
4,Georgia,Warren County,12.4
4,Georgia,Washington County,12.4
4,Georgia,Wayne County,13.3
4,Georgia,Webster County,12.5
4,Georgia,Wheeler County,10.9
4,Georgia,White County,8.2
4,Georgia,Whitfield County,10.7
4,Georgia,Wilcox County,12.8
4,Georgia,Wilkes County,12
4,Georgia,Wilkinson County,11.8
4,Georgia,Worth County,14.4
9,Hawaii,Hawaii County,10.9
9,Hawaii,Honolulu County,10.7
9,Hawaii,Kalawao County,
9,Hawaii,Kauai County,9.3
9,Hawaii,Maui County,8.7
10,Idaho,Ada County,8.7
10,Idaho,Adams County,11.6
10,Idaho,Bannock County,10.7
10,Idaho,Bear Lake County,9.6
10,Idaho,Benewah County,8.2
10,Idaho,Bingham County,9.8
10,Idaho,Blaine County,9.4
10,Idaho,Boise County,8.8
10,Idaho,Bonner County,8.2
10,Idaho,Bonneville County,9.3
10,Idaho,Boundary County,7.3
10,Idaho,Butte County,8.9
10,Idaho,Camas County,9.8
10,Idaho,Canyon County,8.9
10,Idaho,Caribou County,10.1
10,Idaho,Cassia County,9.9
10,Idaho,Clark County,8
10,Idaho,Clearwater County,8.2
10,Idaho,Custer County,8.4
10,Idaho,Elmore County,9.1
10,Idaho,Franklin County,10.1
10,Idaho,Fremont County,7.6
10,Idaho,Gem County,8.8
10,Idaho,Gooding County,9.8
10,Idaho,Idaho County,7.7
10,Idaho,Jefferson County,8.7
10,Idaho,Jerome County,9.7
10,Idaho,Kootenai County,8
10,Idaho,Latah County,7
10,Idaho,Lemhi County,7.3
10,Idaho,Lewis County,8
10,Idaho,Lincoln County,9.5
10,Idaho,Madison County,6.8
10,Idaho,Minidoka County,9.4
10,Idaho,Nez Perce County,7.9
10,Idaho,Oneida County,10.3
10,Idaho,Owyhee County,9
10,Idaho,Payette County,9.3
10,Idaho,Power County,10.4
10,Idaho,Shoshone County,7.7
10,Idaho,Teton County,9
10,Idaho,Twin Falls County,9.7
10,Idaho,Valley County,6.1
10,Idaho,Washington County,7.3
5,Illinois,Adams County,11.3
5,Illinois,Alexander County,10.4
5,Illinois,Bond County,10.4
5,Illinois,Boone County,10
5,Illinois,Brown County,11.6
5,Illinois,Bureau County,10.6
5,Illinois,Calhoun County,9.5
5,Illinois,Carroll County,8.3
5,Illinois,Cass County,12.2
5,Illinois,Champaign County,11
5,Illinois,Christian County,12.3
5,Illinois,Clark County,11.8
5,Illinois,Clay County,11.7
