COUNTY,STABRV,FIPS,BIRTHS,TOTPOP,BIRTHRATE,RPRAFEM,FERTRATE
Union County,NJ,34039,6599,572114,11.53,109863,60.07
Warren County,NJ,34041,1080,110731,9.75,19325,55.89
Unidentified Counties,NJ,34999,1428,160707,8.89,25184,56.7
Bernalillo County,NM,35001,6477,674393,9.6,136710,47.38
Dona Ana County,NM,35013,2590,221508,11.69,47148,54.93
Sandoval County,NM,35043,1294,151369,8.55,27866,46.44
San Juan County,NM,35045,1282,120993,10.6,23653,54.2
Santa Fe County,NM,35049,1129,155201,7.27,25411,44.43
Unidentified Counties,NM,35999,8619,792413,10.88,143901,59.9
Albany County,NY,36001,2863,313743,9.13,67917,42.15
Bronx County,NY,36005,17205,1424948,12.07,302733,56.83
Broome County,NY,36007,1852,197240,9.39,38394,48.24
Chautauqua County,NY,36013,1252,126807,9.87,21985,56.95
Dutchess County,NY,36027,2662,297112,8.96,55216,48.21
Erie County,NY,36029,9534,950683,10.03,183492,51.96
Jefferson County,NY,36045,1813,116295,15.59,21946,82.61
Kings County,NY,36047,33539,2641052,12.7,579210,57.9
Monroe County,NY,36055,7716,755160,10.22,149851,51.49
Nassau County,NY,36059,14157,1390907,10.18,250789,56.45
New York County,NY,36061,14013,1576876,8.89,368519,38.03
Niagara County,NY,36063,1988,211653,9.39,37341,53.24
Oneida County,NY,36065,2429,230274,10.55,40694,59.69
Onondaga County,NY,36067,4888,473236,10.33,93359,52.36
Ontario County,NY,36069,981,112508,8.72,19694,49.81
Orange County,NY,36071,5552,404525,13.72,75473,73.56
Oswego County,NY,36075,1140,117387,9.71,21533,52.94
Queens County,NY,36081,23772,2331143,10.2,453312,52.44
Rensselaer County,NY,36083,1483,160232,9.26,30944,47.93
Richmond County,NY,36085,5092,493494,10.32,93306,54.57
Rockland County,NY,36087,6178,339227,18.21,61179,100.98
St. Lawrence County,NY,36089,1006,108051,9.31,20003,50.29
Saratoga County,NY,36091,2104,237359,8.86,42481,49.53
Schenectady County,NY,36093,1838,158089,11.63,30521,60.22
Suffolk County,NY,36103,15912,1526344,10.42,274960,57.87
Tompkins County,NY,36109,696,105162,6.62,27196,25.59
Ulster County,NY,36111,1569,182951,8.58,32942,47.63
Westchester County,NY,36119,10036,997895,10.06,185344,54.15
Unidentified Counties,NY,36999,17472,1855560,9.42,317691,55
Alamance County,NC,37001,1930,173877,11.1,35190,54.85
Brunswick County,NC,37019,1114,144215,7.72,18902,58.94
Buncombe County,NC,37021,2443,271534,9,52869,46.21
Cabarrus County,NC,37025,2680,231278,11.59,46735,57.34
Catawba County,NC,37035,1672,161723,10.34,29019,57.62
Craven County,NC,37049,1235,100674,12.27,17796,69.4
Cumberland County,NC,37051,5239,335508,15.62,72328,72.43
Davidson County,NC,37057,1791,170637,10.5,30202,59.3
Durham County,NC,37063,4244,326126,13.01,76492,55.48
Forsyth County,NC,37067,4436,385523,11.51,78804,56.29
Gaston County,NC,37071,2683,230856,11.62,44286,60.58
Guilford County,NC,37081,5790,542410,10.67,116004,49.91
Harnett County,NC,37085,1872,135966,13.77,28245,66.28
Henderson County,NC,37089,998,116829,8.54,18447,54.1
Iredell County,NC,37097,1932,191968,10.06,35332,54.68
Johnston County,NC,37101,2769,226504,12.22,44244,62.58
Mecklenburg County,NC,37119,15057,1122276,13.42,256016,58.81
New Hanover County,NC,37129,2153,229018,9.4,48536,44.36
Onslow County,NC,37133,3857,206160,18.71,41886,92.08
Orange County,NC,37135,1193,148884,8.01,35556,33.55
Pitt County,NC,37147,2092,172169,12.15,42307,49.45
Randolph County,NC,37151,1499,145172,10.33,25650,58.44
Robeson County,NC,37155,1849,116328,15.89,22854,80.9
Rowan County,NC,37159,1610,148150,10.87,27085,59.44
Union County,NC,37179,2439,243648,10.01,46360,52.61
Wake County,NC,37183,13170,1150204,11.45,249530,52.78
Wayne County,NC,37191,1601,116835,13.7,22106,72.42
Unidentified Counties,NC,37999,31118,3006690,10.35,510647,60.94
Cass County,ND,38017,2512,186562,13.46,42987,58.44
Unidentified Counties,ND,38999,7600,588386,12.92,108723,69.9
Allen County,OH,39003,1216,101670,11.96,18266,66.57
Ashtabula County,OH,39007,1052,97337,10.81,15939,66
Butler County,OH,39017,4252,390234,10.9,79096,53.76
Clark County,OH,39023,1517,135633,11.18,24647,61.55
Clermont County,OH,39025,2205,209642,10.52,38127,57.83
Columbiana County,OH,39029,973,101310,9.6,15994,60.84
Cuyahoga County,OH,39035,13136,1249387,10.51,244630,53.7
Delaware County,OH,39041,2155,220740,9.76,41613,51.79
Fairfield County,OH,39045,1706,161064,10.59,29709,57.42
Franklin County,OH,39049,17441,1321414,13.2,298086,58.51
Greene County,OH,39057,1653,168412,9.82,33603,49.19
Hamilton County,OH,39061,10330,826139,12.5,170003,60.76
